 Output of the estimated parameters and function values from the fit routine.
 ----------------------------------------------------------------------------
 
objective function value:      3.484815E-03
 
function parameters: c1,  c2,  c3, c4
 
   7.805766E+00     5.455858E+00     5.670985E+00     1.882163E-03
 
input data and calculated values (ycalc):
     xin,                yin,             ycalc
 
   6.931470E-01      1.240000E+00      1.238820E+00
   1.609440E+00      1.238000E+00      1.237118E+00
   2.302590E+00      1.235000E+00      1.235000E+00
   2.708050E+00      1.232000E+00      1.232760E+00
   2.995730E+00      1.229000E+00      1.230359E+00
   3.401200E+00      1.225000E+00      1.225286E+00
   3.688880E+00      1.220000E+00      1.220103E+00
   3.912020E+00      1.215000E+00      1.214980E+00
   4.094340E+00      1.210000E+00      1.210000E+00
   4.248500E+00      1.205000E+00      1.205203E+00
   4.382030E+00      1.201000E+00      1.200607E+00
   4.499810E+00      1.197500E+00      1.196217E+00
   4.605170E+00      1.193000E+00      1.192032E+00
   4.787490E+00      1.185000E+00      1.184252E+00
   4.941640E+00      1.178000E+00      1.177202E+00
   5.075170E+00      1.171000E+00      1.170808E+00
   5.192960E+00      1.165000E+00      1.165000E+00
   5.298320E+00      1.159000E+00      1.159713E+00
   5.521460E+00      1.147000E+00      1.148412E+00
   5.703780E+00      1.138000E+00      1.139294E+00
   5.857930E+00      1.130500E+00      1.131838E+00
   5.991460E+00      1.125000E+00      1.125666E+00
   6.109250E+00      1.120500E+00      1.120500E+00
   6.214610E+00      1.116000E+00      1.116135E+00
   6.396930E+00      1.110000E+00      1.109221E+00
   6.620070E+00      1.105000E+00      1.101948E+00
   6.907760E+00      1.098000E+00      1.094542E+00
